elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4558376960,26256531456,1,213909504,1677131776,17102733312,0,83886080,1137573888,6442319872
102,7.4,4558376960,26256531456,0,213909504,1677131776,17102733312,0,83886080,1137573888,6442319872
204,10.9,4558893056,26256531456,0,213909504,1677131776,17102733312,0,83886080,1137573888,6442319872
376,8.5,4623912960,26256531456,1,213909504,1677131776,17102733312,0,83886080,1139671040,6442319872
499,12.8,4675698688,26256531456,4,213909504,1696006144,17102733312,13,125829120,1196294144,6442319872
766,10.0,4780318720,26256531456,4,226492416,1708589056,17102733312,13,138412032,1208877056,6442319872
870,8.9,4780318720,26256531456,4,226492416,1708589056,17102733312,45,138412032,1208877056,6442319872
972,8.6,4780318720,26256531456,61,226492416,1708589056,17102733312,69,138412032,1208877056,6442319872
1077,9.0,4780318720,26256531456,60,226492416,1708589056,17102733312,69,138412032,1208877056,6442319872
1180,10.9,4780318720,26256531456,60,226492416,1708589056,17102733312,71,138412032,1208877056,6442319872
1283,9.0,4780318720,26256531456,65,226492416,1708589056,17102733312,69,138412032,1208877056,6442319872
1385,10.9,4780318720,26256531456,65,226492416,1708589056,17102733312,69,138412032,1208877056,6442319872
1488,8.4,4780318720,26256531456,68,226492416,1708589056,17102733312,69,138412032,1208877056,6442319872
1590,10.2,4780318720,26256531456,68,226492416,1708589056,17102733312,69,138412032,1208877056,6442319872
1693,9.1,4780318720,26256531456,58,226492416,1708589056,17102733312,67,138412032,1208877056,6442319872
1795,9.2,4780318720,26256531456,58,226492416,1708589056,17102733312,59,138412032,1208877056,6442319872
1898,9.6,4780318720,26256531456,50,226492416,1708589056,17102733312,59,157286400,1227751424,6442319872
2001,8.0,4780318720,26256531456,50,226492416,1708589056,17102733312,54,157286400,1227751424,6442319872
2103,8.0,4780318720,26256531456,50,226492416,1708589056,17102733312,54,157286400,1227751424,6442319872
2205,11.1,4780060672,26256531456,50,226492416,1708589056,17102733312,51,157286400,1227751424,6442319872
2306,8.6,4780060672,26256531456,50,226492416,1708589056,17102733312,50,157286400,1227751424,6442319872
2409,9.8,4779802624,26256531456,50,226492416,1708589056,17102733312,50,157286400,1227751424,6442319872
